id,x,y,theta
152,-3.42027,0.601787,-0.0832743
153,-2.79568,0.574127,0.00984955
154,-2.1723,0.559323,-0.0600119
155,-1.54677,0.531154,-0.0268047
156,-0.918837,0.521999,0.00368555
157,-0.352639,0.509556,-0.0611065
158,-0.173442,0.497971,-0.0447179
159,-0.178689,0.499632,0.90104
160,-0.178591,0.505089,1.89309
161,-0.180831,0.497654,2.82792
162,-0.168522,0.499013,-2.46308
163,-0.168794,0.491933,-1.50797
164,-0.202731,0.535987,-0.518624
165,-0.0435839,0.515129,-0.0853841
166,0.643994,0.471439,-0.0711915
167,1.26387,0.42295,-0.0999974
168,1.85515,0.375388,-0.0876278
169,2.45138,0.305955,-0.124354
170,3.03901,0.240192,-0.144974
171,3.59842,0.144359,-0.183427
172,4.22186,0.0395696,-0.169699
173,4.84862,-0.081607,-0.192511
174,5.47126,-0.196465,-0.152343
175,6.08552,-0.287032,-0.177013
176,6.68238,-0.407728,-0.167366
177,7.30377,-0.510819,-0.194965
178,7.92311,-0.656978,-0.233905
179,8.33604,-0.741354,-0.180755
180,8.35297,-0.729548,-0.623101
181,8.80178,-1.05538,-0.674993
182,9.21298,-1.41561,-0.849096
183,9.57239,-1.85428,-0.906442
184,9.90718,-2.3616,-1.04869
185,10.1914,-2.89424,-1.13726
186,10.4141,-3.46409,-1.19973
187,10.6147,-4.01224,-1.21864
188,10.8241,-4.57906,-1.22035
189,11.0287,-5.14955,-1.24311
190,11.2235,-5.75017,-1.27313
191,11.407,-6.34946,-1.29835
192,11.5708,-6.94298,-1.32777
193,11.7026,-7.48544,-1.38449
194,11.8106,-8.05419,-1.41207
195,11.8986,-8.62069,-1.44134
196,11.9733,-9.24209,-1.48245
197,12.019,-9.86198,-1.51023
198,12.0527,-10.4765,-1.56868
199,12.0324,-11.0845,-1.63035
200,11.9924,-11.6889,-1.65242
201,11.9293,-12.2895,-1.70925
202,11.8708,-12.8012,-1.68947
203,11.7796,-13.538,-1.74267
204,11.6676,-14.1068,-1.845
205,11.5044,-14.6687,-1.85469
206,11.3567,-15.2139,-1.85299
207,11.2025,-15.7805,-1.83719
208,11.0349,-16.3799,-1.8467
209,10.8776,-16.9825,-1.80846
210,10.7199,-17.5773,-1.81733
211,10.5769,-18.1756,-1.81507
212,10.4063,-18.7639,-1.86793
213,10.217,-19.356,-1.88871
214,10.0224,-19.9346,-1.89252
215,9.911,-20.2585,-1.92831
216,9.9265,-20.2477,-2.42742
217,9.95074,-20.2437,-2.97007
218,9.96622,-20.2374,-3.02607
219,9.39871,-20.1981,3.08856
220,8.78762,-20.1598,3.0487
221,8.14901,-20.0977,3.09913
222,7.51079,-20.0588,3.0736
223,6.88964,-20.0327,-3.11313
224,6.26443,-20.0384,-3.13874
225,5.64887,-20.0365,-3.08879
226,5.02306,-20.0354,-3.13757
227,4.36526,-20.1126,-2.98152
228,3.89721,-20.1258,2.93993
229,3.38494,-20.0661,3.06157
230,3.11759,-20.0573,3.0328
231,3.31988,-20.0708,3.10266
232,3.00179,-19.9323,2.67679
233,2.43355,-19.6732,2.77861
234,1.85228,-19.4503,2.73401
235,1.59882,-19.3435,2.72861
236,1.26645,-19.3473,3.13438
237,0.643713,-19.3652,-3.07872
238,0.0296324,-19.4189,-3.11173
239,-0.582852,-19.4209,3.10364
240,-1.15511,-19.3074,2.88566
241,-1.69498,-19.1775,2.97106
242,-2.27017,-19.1133,3.00875
243,-2.87775,-19.0291,3.00734
244,-3.50564,-18.9842,3.07858
245,-4.10979,-18.9394,3.0248
246,-4.70047,-18.8595,2.95308
247,-5.31991,-18.7782,3.05992
248,-5.87163,-18.7604,3.09212
249,-5.82707,-18.7658,-2.99742
250,-5.82252,-18.7744,2.6967
251,-6.1521,-18.433,2.27311
252,-6.51224,-18.0128,2.28245
253,-6.88915,-17.5673,2.27232
254,-7.26047,-17.1098,2.23201
255,-7.31179,-17.0485,2.3168
256,-7.32987,-16.9617,1.83638
257,-7.40098,-16.4546,1.71622
258,-7.48522,-15.8937,1.78786
259,-7.63237,-15.2964,1.82809
260,-7.76965,-14.7427,1.81946
261,-7.76736,-14.6983,1.50761
262,-7.70887,-14.0412,1.51419
263,-7.67122,-13.4177,1.52766
264,-7.6604,-12.8133,1.62484
265,-7.6968,-12.2087,1.64522
266,-7.65329,-11.6244,1.51643
267,-7.60898,-10.876,1.48732
268,-7.48125,-10.2669,1.3773
269,-7.36648,-9.64835,1.40783
270,-7.30017,-9.01902,1.52251
271,-7.21196,-8.39461,1.41284
272,-7.13329,-7.76337,1.47907
273,-7.14851,-7.14165,1.69188
274,-7.22402,-6.52748,1.71646
275,-7.22022,-5.91231,1.54576
276,-7.2205,-5.31316,1.66104
277,-7.27689,-4.74303,1.63619
278,-7.24394,-4.10162,1.54826
279,-7.21395,-3.46325,1.49234
280,-7.15514,-2.83094,1.49401
281,-7.07275,-2.19107,1.39326
282,-6.96144,-1.56073,1.433
283,-6.8829,-0.922733,1.4252
284,-6.77942,-0.297485,1.45254
285,-6.7225,0.348871,1.47269
286,-6.66538,0.967808,1.52535
287,-6.66314,1.01333,1.4199
288,-6.65909,1.02222,0.808385
289,-6.64493,1.03189,0.212085
290,-6.18493,1.02595,-0.0143318
291,-5.5432,1.02117,-0.00135106
292,-4.92478,1.00438,-0.0560634
293,-4.29833,0.961737,-0.0791891
294,-3.67591,0.91185,-0.0785648
295,-3.04996,0.833846,-0.191125
296,-2.43113,0.691086,-0.236587
297,-1.81446,0.541329,-0.248342
298,-1.20382,0.390684,-0.249101
299,-0.629886,0.235981,-0.188109
300,-0.0409454,0.152834,-0.146209
301,0.522505,0.0561294,-0.205763
302,0.824109,-0.00749664,-0.227085
303,0.805743,-0.00316112,-0.223358
304,1.30581,-0.117315,-0.214302
305,1.9258,-0.161097,-0.0311705
306,2.55543,-0.171727,-0.0497613
307,3.19481,-0.220108,-0.0869971
308,3.82303,-0.283714,-0.143129
309,4.45769,-0.345656,-0.0507787
310,5.08566,-0.376844,-0.0871871
311,5.36565,-0.405407,0.0872385
312,5.36784,-0.40823,1.07482
313,5.37305,-0.192183,1.56984
314,5.35519,0.433345,1.60916
315,5.3285,1.05811,1.6044
316,5.29125,1.70153,1.6541
317,5.23389,2.34162,1.66256
318,5.14004,2.97642,1.75541
319,5.064,3.32038,1.82516
320,5.06726,3.32944,2.78838
321,5.06656,3.33216,-2.46076
322,5.06602,3.32949,-1.46998
323,5.08576,3.31301,-0.482962
324,5.10162,3.31232,0.173119
325,5.11067,3.31167,-0.357755
326,5.13121,3.29578,-0.956455
327,5.13548,3.27859,-1.58344
328,5.09324,2.64174,-1.63153
329,5.04717,2.01053,-1.6974
330,4.9627,1.39458,-1.72685
331,4.87207,0.779204,-1.75165
332,4.7515,0.171044,-1.7809
333,4.71586,0.0153248,-1.72761
334,4.73738,0.0272651,-0.714397
335,4.80395,0.0325347,0.24092
336,4.83625,0.0438019,1.14815
337,4.85653,0.0540523,2.09192
338,4.86118,0.0552939,3.07521
339,4.87202,0.0685322,-2.16465
340,4.87037,0.0647117,-1.15127
341,4.98542,-0.00388786,-0.521671
342,5.56095,-0.308846,-0.421435
343,6.13777,-0.510725,-0.289826
344,6.72589,-0.693774,-0.299232
345,6.9639,-0.76308,-0.326069
346,6.95864,-0.763082,-0.971691
347,6.96106,-0.850908,-1.52889
348,6.97885,-1.44134,-1.54498
349,6.9765,-2.06085,-1.58458
350,6.96318,-2.84908,-1.6036
351,6.94888,-3.12286,-1.63195
352,6.9449,-3.1336,-1.91877
353,6.92732,-3.14477,-2.58172
354,6.91377,-3.14261,3.10036
355,6.90274,-3.14237,2.38201
356,6.89849,-3.13648,1.80897
357,6.89701,-3.12355,1.15833
358,6.89119,-3.11796,0.54519
359,6.88069,-3.11479,-0.0665238
360,6.8653,-3.11079,-0.241596
361,6.86397,-3.11567,0.681052
362,6.94892,-2.8845,1.21683
363,7.05164,-2.616,1.21121
364,6.98155,-2.27779,1.82794
365,6.9213,-1.99443,1.33261
366,7.02827,-1.87143,0.780394
367,7.47384,-1.43644,0.783217
368,7.93564,-0.996196,0.73521
369,7.95822,-0.980177,0.483082
370,7.97774,-0.978346,-0.104859
371,7.98105,-0.977828,-0.651281
372,8.40943,-1.3277,-0.678982
373,8.8811,-1.69344,-0.677021
374,9.35857,-2.09675,-0.738232
375,9.6959,-2.39726,-0.77478
376,9.68985,-2.3945,-0.0974534
377,9.74072,-2.36008,0.580342
378,10.2908,-1.9819,0.627177
379,10.7908,-1.57065,0.704113
380,11.2574,-1.12209,0.814985
381,11.419,-0.94312,0.955918
382,11.4192,-0.933619,1.9773
383,11.4176,-0.931178,2.98479
384,11.4239,-0.923711,-2.31451
385,11.4165,-0.924263,-1.26289
386,11.5109,-1.05103,-1.03005
387,11.9508,-1.47609,-0.689025
388,12.4286,-1.8505,-0.690273
389,12.8757,-2.24612,-0.784391
390,12.9149,-2.28293,-0.331553
391,12.7746,-2.27009,0.0288679
392,12.7581,-2.25496,1.02714
393,12.76,-2.20417,2.22635
394,12.7496,-2.18704,-3.10541
395,12.9906,-2.10522,-2.78707
396,12.999,-2.10099,-2.7977
397,13.0039,-2.09546,-2.81942
398,13.0139,-2.08981,-2.63735
399,12.9398,-2.15805,-2.35663
400,12.494,-2.6045,-2.31819
401,12.0608,-3.03686,-2.41304
402,11.5274,-3.35798,-2.68337
403,10.9725,-3.62522,-2.71956
404,10.4389,-3.84653,-2.80089
405,10.4495,-3.82862,-2.27171
406,10.4453,-3.79841,-1.30122
407,10.5708,-4.10925,-1.17582
408,10.7926,-4.65466,-1.21614
409,10.881,-4.90859,-1.31841
410,10.8899,-4.88785,-1.95214
411,10.9013,-4.87321,-2.54703
412,10.4066,-5.08775,-2.75319
413,9.82713,-5.30223,-2.83529
414,9.24366,-5.50282,-2.73415
415,8.64554,-5.75285,-2.72686
416,8.36397,-5.88533,-2.78175
417,8.0725,-5.87599,3.07756
418,7.63396,-5.84272,3.0327
419,7.63777,-5.84218,-2.81889
420,7.69197,-5.8174,-2.60229
421,7.69893,-5.81125,-1.63346
422,7.69825,-5.81538,-0.392706
423,7.70153,-5.81569,-0.046548
424,7.69972,-5.81584,-0.0457039
425,7.69706,-5.819,-0.033491
426,7.69521,-5.81916,-0.0421329
427,7.7259,-5.82016,-0.0385366
428,8.38671,-5.82883,-0.0435979
429,9.03034,-5.86582,-0.0839576
430,9.37102,-5.89987,-0.129642
431,9.3465,-5.89744,-0.0773102
432,9.35796,-5.90369,-0.708352
433,9.35926,-5.91124,-1.38494
434,9.33218,-6.44696,-1.61275
435,9.31074,-7.08649,-1.64078
436,9.24422,-7.72388,-1.64929
437,9.20303,-8.37074,-1.64107
438,9.15887,-8.8409,-1.67088
439,9.15507,-8.8483,-2.10546
440,9.16104,-8.84084,-2.7468
441,9.1804,-8.83712,2.91611
442,9.1917,-8.84303,2.2885
443,9.19194,-8.84543,1.72327
444,9.1927,-8.83122,1.13343
445,9.19676,-8.82419,0.477082
446,9.19632,-8.82535,0.679525
447,9.20843,-8.80211,1.31273
448,9.34768,-8.17896,1.33051
449,9.4699,-7.54125,1.43216
450,9.5531,-6.90392,1.4461
451,9.59785,-6.43355,1.48887
452,9.59538,-6.43419,1.11102
453,9.59012,-6.43748,0.48902
454,9.85129,-6.41283,0.0671454
455,10.4492,-6.37804,0.0464399
456,11.0801,-6.36263,-0.0183011
457,11.4329,-6.37871,-0.106177
458,11.4283,-6.36805,-0.75241
459,11.4207,-6.33365,-1.36092
460,11.4067,-6.73288,-1.61812
461,11.3489,-7.35112,-1.7062
462,11.2699,-7.86245,-1.74633
463,11.2774,-7.85161,-0.906461
464,11.535,-7.92093,-0.228694
465,12.1207,-8.04519,-0.221068
466,12.6761,-8.18803,-0.276837
467,13.2494,-8.36125,-0.320421
468,13.8669,-8.57091,-0.355722
469,14.4618,-8.82806,-0.438397
470,14.9188,-9.03695,-0.419266
471,14.9263,-9.04163,-0.618709
472,14.9425,-9.06363,-1.25053
473,14.9459,-9.06837,-1.89027
474,14.946,-9.07123,-2.52076
475,14.948,-9.07165,-3.09441
476,14.9473,-9.07292,2.53772
477,14.9514,-9.08106,1.97833
478,14.9531,-9.08909,1.35141
479,14.9538,-9.09122,0.897228
480,14.9536,-9.09267,1.45938
481,14.953,-9.07628,2.4616
482,14.9572,-9.07771,2.7978
483,14.9634,-9.0799,2.79244
484,14.5349,-8.92721,2.82798
485,13.9338,-8.74653,2.82566
486,13.3303,-8.54199,2.83519
487,12.7182,-8.37072,2.86346
488,12.1043,-8.19762,2.89958
489,11.633,-8.09636,2.93
490,11.6391,-8.0936,-2.86808
491,11.6421,-8.08298,-1.93197
492,11.6285,-8.31345,-1.62893
493,11.5751,-8.91853,-1.68399
494,11.4968,-9.53124,-1.74491
495,11.437,-10.1532,-1.63772
496,11.3999,-10.7707,-1.52007
497,11.4029,-11.3949,-1.60628
498,11.3433,-12.0214,-1.70836
499,11.2225,-12.6449,-1.72568
500,11.2866,-13.2118,-1.39734
501,11.3688,-13.7871,-1.47022
502,11.4013,-14.4789,-1.55552
503,11.4016,-14.9215,-1.57328
504,11.3997,-14.9171,-0.712614
505,11.6441,-14.9424,-0.0901437
506,12.237,-15.0121,-0.243507
507,12.8204,-15.1725,-0.322847
508,13.3918,-15.377,-0.336873
509,14.0114,-15.6023,-0.39326
510,14.3682,-15.7564,-0.407628
511,14.3683,-15.7486,0.467882
512,14.3789,-15.7199,1.66791
513,14.3944,-15.71,2.6238
514,14.3245,-15.692,2.84952
515,13.7106,-15.519,2.85019
516,13.1237,-15.3318,2.86566
517,12.5282,-15.1911,2.89344
518,11.9342,-15.0465,2.91739
519,11.4099,-14.9287,2.90132
520,11.2472,-14.8727,-2.98394
521,11.2574,-14.8468,-1.97994
522,11.1969,-15.2371,-1.71612
523,11.1119,-15.8567,-1.72382
524,11.0145,-16.429,-1.76599
525,10.9149,-16.9742,-1.74244
526,10.8061,-17.5396,-1.8013
527,10.6648,-18.1179,-1.8361
528,10.4904,-18.6831,-1.91206
529,10.2844,-19.2851,-1.94056
530,10.0428,-19.886,-1.97084
531,9.77923,-20.4615,-2.05085
532,9.68178,-20.651,-2.00042
533,9.6793,-20.6493,-1.00109
534,9.68725,-20.6513,-0.334445
535,9.69082,-20.6516,-0.334963
536,10.049,-20.7325,-0.20444
537,10.656,-20.8758,-0.26261
538,11.2171,-21.0405,-0.289892
539,11.8257,-21.2444,-0.354842
540,12.4129,-21.4923,-0.447927
541,13.004,-21.7162,-0.285839
542,13.6356,-21.8534,-0.230322
543,13.7569,-21.883,-0.260166
544,13.7812,-21.8729,0.376545
545,13.7933,-21.8327,1.44261
546,13.8138,-21.8877,2.26937
547,13.8236,-21.8854,-2.9924
548,13.8251,-21.8697,-2.06974
549,13.8206,-21.8697,-1.26336
550,13.8265,-21.8477,-1.7434
551,13.8391,-21.84,-2.37001
552,13.8501,-21.8373,-3.00274
553,13.7108,-21.7846,2.70285
554,13.1168,-21.5026,2.66721
555,12.538,-21.2306,2.75589
556,11.936,-21.0148,2.89078
557,11.3327,-20.8469,2.84986
558,10.7573,-20.6926,2.93114
559,10.7517,-20.684,2.52462
560,10.7522,-20.6545,2.02418
561,10.7422,-20.6439,2.52987
562,10.5579,-20.6445,-3.10934
563,9.9811,-20.5705,2.98222
564,9.37347,-20.483,3.03108
565,8.76686,-20.4079,2.96757
566,8.7672,-20.4492,-2.54539
567,8.76909,-20.4527,-1.72522
568,8.71572,-20.9841,-1.66584
569,8.67131,-21.5479,-1.7057
570,8.60806,-22.1233,-1.70025
571,8.5599,-22.4757,-1.7528
572,8.54089,-22.505,-2.00303
573,8.51178,-22.5895,-1.73428
574,8.56551,-22.6443,-0.810809
575,8.64179,-22.648,0.16435
576,8.6457,-22.6477,1.18869
577,8.63888,-22.633,2.15765
578,8.62917,-22.5978,1.79197
579,8.49077,-21.9475,1.80618
580,8.31606,-21.3103,1.88041
581,8.10963,-20.6893,1.92193
582,7.87643,-20.0777,1.96421
583,7.74055,-19.7712,2.04267
584,7.74511,-19.7579,2.88384
585,7.16012,-19.6245,3.00128
586,6.56525,-19.5563,3.09803
587,5.94473,-19.5525,3.12275
588,5.31355,-19.5329,3.12657
589,4.7833,-19.5602,-3.08535
590,4.24062,-19.6013,-3.02061
591,3.71505,-19.6802,-3.02601
592,3.17911,-19.7521,-3.03216
593,2.99077,-19.7601,-2.83163
594,2.99767,-19.7867,-1.8709
595,2.90886,-20.3907,-1.64357
596,2.87301,-20.9969,-1.6705
597,2.79805,-21.6547,-1.71433
598,2.70588,-22.2537,-1.75706
599,2.62427,-22.6312,-1.82383
600,2.63512,-22.6492,-1.01874
601,2.67331,-22.6633,-0.00220704
602,2.70058,-22.656,1.01018
603,2.66438,-22.4225,1.78139
604,2.59745,-21.8074,1.53651
605,2.6,-21.1628,1.61826
606,2.55427,-20.5183,1.65956
607,2.56085,-19.9313,1.5777
608,2.54528,-19.5481,1.62139
609,2.54084,-19.5305,1.95643
610,2.53141,-19.5269,2.88643
611,1.93276,-19.3765,2.88873
612,1.45761,-19.2414,2.89086
613,1.49365,-19.2475,-2.93
614,1.49126,-19.2438,-1.89483
615,1.501,-19.7303,-1.59143
616,1.50343,-20.3532,-1.64332
617,1.35552,-20.9591,-1.86438
618,1.17416,-21.5643,-1.85671
619,1.00037,-22.1352,-1.86027
620,0.798583,-22.7185,-1.95873
621,0.925651,-22.4036,-2.0125
622,1.04241,-22.1629,-2.08995
623,0.981323,-22.181,-2.632
624,0.872975,-22.1657,3.00293
625,0.798478,-22.1032,2.33862
626,0.762476,-22.0612,1.71505
627,0.851502,-21.697,1.29971
628,1.05635,-21.0919,1.19564
629,1.25876,-20.4799,1.26332
630,1.41787,-19.879,1.34457
631,1.52234,-19.3538,1.36112
632,1.47145,-19.3222,2.0274
633,1.39053,-19.3113,-3.12945
634,0.73921,-19.3281,-3.09245
635,0.122864,-19.3285,3.06719
636,-0.486081,-19.2969,3.05858
637,-1.07237,-19.2306,2.96947
638,-1.46126,-19.1538,2.93924
639,-2.06944,-19.0545,3.01868
640,-2.68326,-18.9496,2.94973
641,-3.28215,-18.8424,2.94031
642,-3.85403,-18.7086,2.89367
643,-4.33922,-18.5692,2.80866
644,-4.32879,-18.5615,-2.7657
645,-4.39789,-18.7329,-1.87623
646,-4.50906,-19.3604,-1.58357
647,-4.43628,-20.0029,-1.29725
648,-4.19199,-20.6106,-1.1329
649,-4.00269,-21.1889,-1.47286
650,-4.08329,-21.825,-1.73218
651,-4.08012,-21.9758,-0.936665
652,-4.05294,-21.9773,0.0838488
653,-4.03298,-21.9609,1.10956
654,-4.04824,-21.6641,1.61982
655,-4.0691,-21.111,1.61345
656,-4.07883,-20.5097,1.59934
657,-4.19398,-19.8973,1.87349
658,-4.39196,-19.2823,1.86572
659,-4.51231,-18.7903,1.79386
660,-4.50191,-18.7815,2.3924
661,-4.68752,-18.7626,3.04415
662,-5.28758,-18.7054,3.11304
663,-5.88189,-18.7228,-3.06987
664,-5.8879,-18.7387,-2.55196
665,-5.89752,-18.8118,-1.70353
666,-5.95934,-19.4184,-1.66545
667,-6.00657,-19.9826,-1.65996
668,-6.05965,-20.5748,-1.63332
669,-6.09586,-21.1981,-1.65761
670,-6.18266,-21.8141,-1.71623
671,-6.22466,-22.1049,-1.66041
672,-6.13332,-21.5186,-1.74861
673,-6.07005,-21.2459,-1.87815
674,-6.04905,-21.2294,-2.52431
675,-6.01723,-21.225,-3.13102
676,-6.00499,-21.2323,2.53077
677,-5.99674,-21.2369,1.91685
678,-5.97495,-21.0115,1.47251
679,-5.92915,-20.4289,1.53602
680,-5.97116,-19.9858,1.88238
681,-6.14278,-19.4101,1.84934
682,-6.33234,-18.8166,1.89107
683,-6.43611,-18.5314,2.04284
684,-6.41884,-18.5604,3.12164
685,-6.82132,-18.7276,-2.71784
686,-7.26169,-18.8703,-2.86206
687,-7.84982,-19.03,-2.89707
688,-8.44446,-19.1585,-2.90886
689,-9.00425,-19.3054,-2.88124
690,-9.53655,-19.4821,-2.80714
691,-9.92503,-19.6185,-2.83525
692,-9.92189,-19.6396,-2.30125
693,-9.89806,-19.7148,-1.26161
694,-9.87962,-19.7475,-0.426764
695,-9.86466,-19.7425,0.372869
696,-9.83051,-19.7711,1.39789
697,-9.84502,-19.8014,1.1447
698,-9.50899,-19.5846,0.48967
699,-8.9521,-19.2683,0.603628
700,-8.4432,-18.9016,0.657112
701,-8.01308,-18.5341,0.716257
702,-7.53617,-18.2129,0.601099
703,-7.02847,-17.8721,0.635378
704,-6.53697,-17.4828,0.653599
705,-6.03061,-17.0561,0.724217
706,-5.60154,-16.7365,0.455451
707,-5.57739,-16.7375,-0.0653059
708,-5.57105,-16.7432,-0.704973
709,-5.61356,-16.699,-1.03691
710,-5.61529,-16.6819,-1.59867
711,-5.60302,-16.6908,-2.19629
712,-5.58109,-16.681,-2.75745
713,-6.05274,-16.7353,-3.04262
714,-6.60522,-16.7158,3.04332
715,-7.23367,-16.6836,-3.1362
716,-7.86475,-16.668,3.00901
717,-8.4877,-16.6047,3.09381
718,-9.24827,-16.4936,2.91848
719,-9.86618,-16.383,2.99298
720,-10.4782,-16.2762,2.9338
721,-11.0972,-16.1649,3.00204
722,-11.115,-16.1622,3.06876
723,-11.1337,-16.1905,-2.12413
724,-11.1246,-16.2243,-1.05486
725,-11.0991,-16.2386,-0.42036
726,-10.7738,-16.2319,0.0339126
727,-10.1363,-16.1885,0.064686
728,-9.49663,-16.1593,0.0661072
729,-8.85989,-16.0939,0.123795
730,-8.23765,-15.9967,0.161349
731,-7.58981,-15.8907,0.173604
732,-7.45367,-15.8555,0.62029
733,-7.44978,-15.8485,1.61706
734,-7.51372,-15.2924,1.69521
735,-7.58019,-14.6895,1.66323
736,-7.57246,-14.6832,2.26289
737,-7.56498,-14.6833,3.06382
738,-8.14325,-14.6486,3.08294
739,-8.74578,-14.5593,3.02537
740,-9.24772,-14.524,3.08869
741,-9.23436,-14.5263,2.71994
742,-9.23894,-14.5193,2.0673
743,-9.23675,-14.5053,1.45063
